name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Kakhono Bhabini,6zvuGqFv4ryAbC5uB5l3ww,0,2017-01-10,miss,278.11764,-4.481,84.979,0.365,4,1.0,0,0.0,0,0.287,0.156,0.591,0.833,0.0,0.247,0.067,0.661
Naa Meede,74D45lV05B88jzNAW7ggo4,3,2017-02-10,miss,268.99039,-6.185,160.984,0.065,4,1.0,7,0.466,1,0.496,0.0801,0.687,0.76,0.0,0.108,0.113,0.762
Usure Usure - Karaoke,78AwofvZRGX1sTVeIXF61K,4,2017-08-31,miss,278.04023,-6.995,185.889,0.17300000000000001,3,0.903,2,0.755,1,0.6459999999999999,0.675,0.463,0.644,0.812,0.145,0.0316,0.152
Rabb V/S Jatt,7IQu4K9uSjvt1jgpZle2rp,1,2017-11-04,miss,194.69061000000002,-1.7830000000000001,171.868,0.262,4,1.0,1,0.122,1,0.284,0.0789,0.621,0.826,0.0,0.0902,0.101,0.688
Thamba,7ccmiCPlBBEqScXvUiJPlm,8,2017-05-03,miss,303.43287999999995,-7.686,75.117,0.026000000000000002,4,1.0,1,0.5589999999999999,1,0.5660000000000001,0.0857,0.644,0.824,0.00538,0.139,0.0871,0.601
"Mukhchora Gaan (From ""Projapoti Biskut"")",7fm8GUseC4fg44xFVlkILr,0,2017-09-21,miss,297.09673,-16.012999999999998,51.67,0.10300000000000001,4,1.0,10,0.625,1,0.687,0.899,0.343,0.199,2.55e-05,0.118,0.042,0.259
Tere Mere,7g6aSEWDA2S5z2A2oXjFkV,22,2017-09-26,miss,343.54413,-5.797000000000001,84.50299999999999,0.162,4,1.0,4,0.599,1,0.525,0.154,0.373,0.672,4.28e-05,0.321,0.0326,0.47
"Lips Stick Olagina Lipina - From ""Krishna Rukku""",7g79SNTLI76LSeg39W2SCt,0,2017-01-16,miss,232.74821,-4.875,93.98100000000001,0.018000000000000002,4,1.0,7,0.71,1,0.545,0.482,0.858,0.851,0.0,0.0434,0.209,0.801
Vandhanam Vandhanam,7jBTgMnKTzOI7zhz07pmAL,0,2017-06-28,miss,278.60517000000004,-6.077999999999999,186.852,0.017,3,0.77,7,0.551,1,0.5529999999999999,0.392,0.59,0.838,7.18e-06,0.103,0.402,0.696
Itna Sannata Kyun Hai,7kyDkMZAWuI4fh1LDXJT6J,14,2017-10-06,miss,192.29143,-4.013999999999999,130.028,0.7240000000000001,4,0.9209999999999999,0,0.406,0,0.743,0.147,0.611,0.852,0.0,0.18,0.0492,0.365
Always Hurt Me,7lHYUje6ilCVcPNSB6bkaM,1,2017-01-05,miss,185.62018,-13.599,125.796,0.076,1,0.225,5,0.672,1,0.613,0.886,0.286,0.176,0.00724,0.161,0.0359,0.0848
Suno Ganpati Bappa Morya,7mySIBo7Diwiib2o1JNzt6,25,2017-09-12,miss,279.19084,-4.452,103.941,0.782,4,0.866,7,0.294,1,0.461,0.162,0.733,0.881,0.0,0.0546,0.093,0.851
Pipparamintalle,7pXxLUuarCRuAwe7Y4CY5O,0,2017-03-22,miss,234.5946,-6.811,111.03200000000001,0.807,4,0.995,7,0.21600000000000003,1,0.41700000000000004,0.0678,0.779,0.734,0.000206,0.0735,0.109,0.734
Sadaa Noduve,7tcmK0bA98P2NZQVBLS02j,0,2017-05-03,miss,250.44961,-8.837,84.60600000000001,0.258,4,1.0,2,0.39899999999999997,0,0.46799999999999997,0.432,0.526,0.481,8.14e-06,0.647,0.0366,0.647
